Time,EcoregionName,EcoregionIndex,TAP,MAT,BeginGrow,EndGrow,PDSI,
1979, eco1, 0, 183.2, 10.73, 82, 273, 0, 
1980, eco1, 0, 208.33, 10.28, 57, 287, 0, 
1981, eco1, 0, 155.5, 10.79, 80, 277, 0, 
1982, eco1, 0, 164.32, 11.61, 81, 289, 0, 
1983, eco1, 0, 196.95, 11.81, 66, 274, 0, 
1984, eco1, 0, 243.43, 10.56, 71, 287, 0, 
1985, eco1, 0, 242.41, 10.47, 82, 274, 0, 
1986, eco1, 0, 179.07, 11.32, 74, 284, 0, 
1987, eco1, 0, 225.91, 11.19, 67, 304, 0, 
1988, eco1, 0, 155.5, 10.79, 80, 277, 0, 
1989, eco1, 0, 259.9, 10.7, 89, 291, 0, 
1990, eco1, 0, 148.39, 10.12, 79, 265, 0, 
1991, eco1, 0, 183.2, 10.73, 82, 273, 0, 
1992, eco1, 0, 156.05, 10.7, 68, 283, 0, 
1993, eco1, 0, 170.21, 10.77, 87, 283, 0, 
1994, eco1, 0, 243.43, 10.56, 71, 287, 0, 
1995, eco1, 0, 171.9, 12.33, 55, 288, 0, 
1996, eco1, 0, 171.9, 12.33, 55, 288, 0, 
1997, eco1, 0, 208.33, 10.28, 57, 287, 0, 
1998, eco1, 0, 249.73, 10.71, 60, 279, 0, 
1999, eco1, 0, 161.8, 11.01, 72, 321, 0, 
2000, eco1, 0, 171.9, 12.33, 55, 288, 0, 
2001, eco1, 0, 208.33, 10.28, 57, 287, 0, 
2002, eco1, 0, 170.21, 10.77, 87, 283, 0, 
2003, eco1, 0, 155.5, 10.79, 80, 277, 0, 
2004, eco1, 0, 192.78, 11.49, 72, 291, 0, 
2005, eco1, 0, 171.44, 10.98, 80, 261, 0, 
2006, eco1, 0, 163.5, 11.02, 81, 272, 0, 
2007, eco1, 0, 199.06, 11.01, 80, 295, 0, 
2008, eco1, 0, 219.52, 11.93, 77, 287, 0, 
2009, eco1, 0, 269.94, 10.46, 71, 276, 0, 
2010, eco1, 0, 198.81, 11, 80, 291, 0, 
2011, eco1, 0, 223.99, 11.96, 49, 293, 0, 
2012, eco1, 0, 208.33, 10.28, 57, 287, 0, 
2013, eco1, 0, 163.5, 11.02, 81, 272, 0, 
2014, eco1, 0, 269.94, 10.46, 71, 276, 0, 
2015, eco1, 0, 216.67, 10.45, 73, 291, 0, 
2016, eco1, 0, 242.51, 11, 76, 299, 0, 
2017, eco1, 0, 219.52, 11.93, 77, 287, 0, 
2018, eco1, 0, 148.39, 10.12, 79, 265, 0, 
2019, eco1, 0, 171.44, 10.98, 80, 261, 0, 
2020, eco1, 0, 184.45, 11.27, 85, 299, 0, 
2021, eco1, 0, 184.45, 11.27, 85, 299, 0, 
2022, eco1, 0, 130.99, 11.9, 64, 290, 0, 
2023, eco1, 0, 155.5, 10.79, 80, 277, 0, 
2024, eco1, 0, 269.94, 10.46, 71, 276, 0, 
2025, eco1, 0, 164.42, 10.44, 83, 282, 0, 
2026, eco1, 0, 230.62, 10.18, 92, 290, 0, 
2027, eco1, 0, 178.97, 10.49, 81, 276, 0, 
2028, eco1, 0, 155.5, 10.79, 80, 277, 0, 
2029, eco1, 0, 199.06, 11.01, 80, 295, 0, 
2030, eco1, 0, 179.07, 11.32, 74, 284, 0, 
2031, eco1, 0, 223.99, 11.96, 49, 293, 0, 
2032, eco1, 0, 242.41, 10.47, 82, 274, 0, 
2033, eco1, 0, 148.39, 10.12, 79, 265, 0, 
2034, eco1, 0, 219.52, 11.93, 77, 287, 0, 
2035, eco1, 0, 230.62, 10.18, 92, 290, 0, 
2036, eco1, 0, 183.2, 10.73, 82, 273, 0, 
2037, eco1, 0, 171.44, 10.98, 80, 261, 0, 
2038, eco1, 0, 183.2, 10.73, 82, 273, 0, 
